districtID,subdistrictID,locationID,aslProjectTypeID,speciesID,gearID,managementArea,location,ASLProjectType,gear,mesh,period,strata,sampleYear,sampleDate,species,cardNo,fishNum,Genetic Sample Number,sexID,length,ageFresh,ageSalt,totalAge,ageErrorID
334,3345,195,5,410,3,Yukon,Eagle Sonar (Yukon/Canadian Border),Test Fishing,Drift Gillnet,4.000,-1,,2005,2005-07-12,Chinook,2,1,5,1,932,1,4,1.4,
334,3345,195,5,410,3,Yukon,Eagle Sonar (Yukon/Canadian Border),Test Fishing,Drift Gillnet,4.000,-1,,2005,2005-07-12,Chinook,2,2,6,1,706,1,3,1.3,
334,3345,195,5,410,3,Yukon,Eagle Sonar (Yukon/Canadian Border),Test Fishing,Drift Gillnet,4.000,-1,,2005,2005-07-12,Chinook,2,3,7,1,684,2,3,2.3,
334,3345,195,5,410,3,Yukon,Eagle Sonar (Yukon/Canadian Border),Test Fishing,Drift Gillnet,4.000,-1,,2005,2005-07-12,Chinook,2,4,8,2,789,1,3,1.3,
334,3345,195,5,410,3,Yukon,Eagle Sonar (Yukon/Canadian Border),Test Fishing,Drift Gillnet,4.000,-1,,2005,2005-07-12,Chinook,2,5,9,2,916,1,4,1.4,
334,3345,195,5,410,3,Yukon,Eagle Sonar (Yukon/Canadian Border),Test Fishing,Drift Gillnet,4.000,-1,,2005,2005-07-12,Chinook,2,6,10,2,887,1,4,1.4,
334,3345,195,5,410,3,Yukon,Eagle Sonar (Yukon/Canadian Border),Test Fishing,Drift Gillnet,4.000,-1,,2005,2005-07-12,Chinook,2,7,11,1,881,1,4,1.4,
334,3345,195,5,410,3,Yukon,Eagle Sonar (Yukon/Canadian Border),Test Fishing,Drift Gillnet,4.000,-1,,2005,2005-07-12,Chinook,2,8,12,1,902,1,4,1.4,
334,3345,195,5,410,3,Yukon,Eagle Sonar (Yukon/Canadian Border),Test Fishing,Drift Gillnet,4.000,-1,,2005,2005-07-12,Chinook,2,9,13,1,751,1,3,1.3,
334,3345,195,5,410,3,Yukon,Eagle Sonar (Yukon/Canadian Border),Test Fishing,Drift Gillnet,6.500,-1,,2005,2005-07-12,Chinook,3,1,14,1,754,1,3,1.3,
334,3345,195,5,410,3,Yukon,Eagle Sonar (Yukon/Canadian Border),Test Fishing,Drift Gillnet,6.500,-1,,2005,2005-07-12,Chinook,3,2,15,1,850,2,4,2.4,
334,3345,195,5,410,3,Yukon,Eagle Sonar (Yukon/Canadian Border),Test Fishing,Drift Gillnet,8.500,-1,,2005,2005-07-12,Chinook,3,3,16,2,856,1,4,1.4,
334,3345,195,5,410,3,Yukon,Eagle Sonar (Yukon/Canadian Border),Test Fishing,Drift Gillnet,5.500,-1,,2005,2005-07-13,Chinook,4,1,17,1,692,1,3,1.3,
334,3345,195,5,410,3,Yukon,Eagle Sonar (Yukon/Canadian Border),Test Fishing,Drift Gillnet,7.500,-1,,2005,2005-07-13,Chinook,4,2,18,1,778,1,3,1.3,
334,3345,195,5,410,3,Yukon,Eagle Sonar (Yukon/Canadian Border),Test Fishing,Drift Gillnet,5.500,-1,,2005,2005-07-14,Chinook,5,1,19,1,707,1,3,1.3,
334,3345,195,5,410,3,Yukon,Eagle Sonar (Yukon/Canadian Border),Test Fishing,Drift Gillnet,5.500,-1,,2005,2005-07-14,Chinook,5,2,20,1,811,,,,3
334,3345,195,5,410,3,Yukon,Eagle Sonar (Yukon/Canadian Border),Test Fishing,Drift Gillnet,5.500,-1,,2005,2005-07-14,Chinook,5,3,21,2,750,1,3,1.3,
